CRASH_ID,CRASH_DT,CRASH_X,CRASH_Y,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CITY_SECT_NM,FC_CD,FC_SHORT_DESC,LAT,LONG,ST_FULL_NM,ISECTG_ST_FULL_NM,POST_SPEED_LMT_VAL,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,IMPCT_LOC_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_SHORT_DESC,WTHR_COND_SHORT_DESC,RD_SURF_SHORT_DESC,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,CRASH_EVNT_1_SHORT_DESC,CRASH_CAUSE_1_SHORT_DESC,RTE_NM,CL_STREET1,CL_STREET2
1484554,9/20/2012 00:00,7672160.00,676788.00,9,20,2012,5,13,Portland SE,17,U COLL  ,45.50444444,-122.5672222,SE DIVISION ST             ,SB EX DIVISION C6          ,55,STRGHT  ,0,,0,0,0,4,0,7,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,PED INV   ,TOO-CLOS,IS 205    ,SE DIVISION ST,
1484717,9/6/2012 00:00,7669814.00,676949.00,9,6,2012,5,8,Portland SE,17,U COLL  ,45.50472222,-122.5763889,SE DIVISION ST             ,SE 84TH AVE                ,30,STRGHT  ,0,,1,0,0,4,0,6,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TOO-CLOS,,SE DIVISION ST,SE 84TH AVE
1484760,9/24/2012 00:00,7648957.00,677597.00,9,24,2012,2,17,Portland SE,17,U COLL  ,45.505,-122.6577778,SE DIVISION ST             ,SE 8TH AVE                 ,50,INTER   ,0,CROSS  ,0,0,0,,0,4,S-STRGHT  ,REAR    ,PDO,CLR ,DRY ,DAY ,TRF SIGNAL,1,,TOO-CLOS,,SE DIVISION ST,SE 8TH AVE
1484772,9/24/2012 00:00,7679206.00,676507.00,9,24,2012,2,18,Portland SE,14,U PR-ART,45.50416667,-122.5397222,SE DIVISION ST             ,SE 121ST AVE               ,55,ALLEY   ,0,,0,0,0,4,0,8,O-1TURN   ,TURN    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,,NO-YIELD,,SE DIVISION ST,SE 121ST AVE
1484785,9/25/2012 00:00,7664551.00,677288.00,9,25,2012,3,14,Portland SE,17,U COLL  ,45.50527778,-122.5969444,SE DIVISION ST             ,SE 64TH AVE                ,55,ALLEY   ,0,,0,0,0,4,0,8,ANGL-OTH  ,TURN    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,,NO-YIELD,,SE DIVISION ST,SE 64TH AVE
1484797,9/25/2012 00:00,7690101.00,676336.00,9,25,2012,3,20,Portland SE,14,U PR-ART,45.50444444,-122.4972222,SE DIVISION ST             ,SE 162ND AVE               ,35,STRGHT  ,0,,0,0,0,4,0,8,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DLIT,UNKNOWN   ,1,,INATTENT,,SE DIVISION ST,SE 162ND AVE
1484832,9/27/2012 00:00,7686539.00,676323.00,9,27,2012,5,15,Portland SE,14,U PR-ART,45.50416667,-122.5111111,SE DIVISION ST             ,SE 148TH AVE               ,,STRGHT  ,0,,0,0,0,2,,8,S-STRGHT  ,REAR    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TOO-CLOS,,SE DIVISION ST,SE 148TH AVE
1484833,9/27/2012 00:00,7679776.00,676493.00,9,27,2012,5,14,Portland SE,14,U PR-ART,45.50416667,-122.5375,SE DIVISION ST             ,SE 148TH AVE               ,,STRGHT  ,0,,0,0,0,2,,5,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TOO-CLOS,,SE DIVISION ST,SE 148TH AVE
1484845,9/28/2012 00:00,7666117.00,677247.00,9,28,2012,6,16,Portland SE,17,U COLL  ,45.50527778,-122.5908333,SE DIVISION ST             ,SE 70TH AVE                ,,INTER   ,0,3-LEG  ,0,0,0,,0,1,ANGL-OTH  ,TURN    ,INJ,CLR ,DRY ,DAY ,STOP SIGN ,1,,NO-YIELD,,SE DIVISION ST,SE 70TH AVE
1484898,9/26/2012 00:00,7669244.00,676964.00,9,26,2012,4,17,Portland SE,14,U PR-ART,45.50472222,-122.5786111,SE DIVISION ST             ,SE 82ND AVE                ,35,INTER   ,0,CROSS  ,0,0,0,,0,6,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DAY ,TRF SIGNAL,1,,TOO-CLOS,213,SE DIVISION ST,SE 82ND AVE
1484980,9/27/2012 00:00,0.00,0.00,9,27,2012,5,16,Portland SE,14,U PR-ART,45.49305556,-122.5733333,DIVISION ST                ,                           ,,STRGHT  ,0,,0,0,0,4,,0,S-STRGHT  ,SS-O    ,PDO,CLR ,DRY ,DAY ,NONE      ,1,,IMP LN C,,SE DIVISION ST,
1485039,9/30/2012 00:00,7655789.00,677314.00,9,30,2012,1,22,Portland SE,14,U PR-ART,45.50472222,-122.6311111,SE DIVISION ST             ,SE 33RD AVE                ,25,ALLEY   ,0,,0,0,0,4,,8,O-1TURN   ,TURN    ,INJ,CLR ,DRY ,DLIT,NONE      ,1,,RECKLESS,,SE DIVISION ST,SE 33RD AVE
1485088,8/31/2012 00:00,7685187.00,676357.00,8,31,2012,6,10,Portland SE,14,U PR-ART,45.50416667,-122.5163889,SE DIVISION ST             ,SE 143RD AVE               ,35,STRGHT  ,0,,0,0,0,4,0,7,S-1STOP   ,REAR    ,INJ,CLR ,DRY ,DAY ,UNKNOWN   ,1,PED INV   ,TOO-CLOS,,SE DIVISION ST,SE 143RD AVE
